Date,CPI
3-Jan,100.4
3-Feb,100.2
3-Mar,100.9
3-Apr,101
3-May,100.7
3-Jun,100.3
3-Jul,100.5
3-Aug,100.9
3-Sep,101.1
3-Oct,101.8
3-Nov,103
3-Dec,103.2
4-Jan,103.2
4-Feb,102.1
4-Mar,103
4-Apr,103.8
4-May,104.4
4-Jun,105
4-Jul,105.3
4-Aug,105.3
4-Sep,105.2
4-Oct,104.3
4-Nov,102.8
4-Dec,102.4
5-Jan,101.9
5-Feb,103.9
5-Mar,102.7
5-Apr,101.8
5-May,101.8
5-Jun,101.6
5-Jul,101.8
5-Aug,101.3
5-Sep,100.9
5-Oct,101.2
5-Nov,101.3
5-Dec,101.6
6-Jan,101.9
6-Feb,100.9
6-Mar,100.8
6-Apr,101.2
6-May,101.4
6-Jun,101.5
6-Jul,101
6-Aug,101.3
6-Sep,101.5
6-Oct,101.4
6-Nov,101.9
6-Dec,102.8
7-Jan,102.2
7-Feb,102.7
7-Mar,103.3
7-Apr,103
7-May,103.4
7-Jun,104.4
7-Jul,105.6
7-Aug,106.5
7-Sep,106.2
7-Oct,106.5
7-Nov,106.9
7-Dec,106.5
8-Jan,107.1
8-Feb,108.7
8-Mar,108.3
8-Apr,108.5
8-May,107.7
8-Jun,107.1
8-Jul,106.3
8-Aug,104.9
8-Sep,104.6
8-Oct,104
8-Nov,102.4
8-Dec,101.2
9-Jan,101
9-Feb,98.4
9-Mar,98.8
9-Apr,98.5
9-May,98.6
9-Jun,98.3
9-Jul,98.2
9-Aug,98.8
9-Sep,99.2
9-Oct,99.5
9-Nov,100.6
9-Dec,101.9
10-Jan,101.53
10-Feb,102.7
10-Mar,102.37
10-Apr,102.81
10-May,103.06
10-Jun,102.95
10-Jul,103.3
10-Aug,103.48
10-Sep,103.61
10-Oct,104.37
10-Nov,105.12
10-Dec,104.59
11-Jan,104.9
11-Feb,104.9
11-Mar,105.4
11-Apr,105.3
11-May,105.5
11-Jun,106.4
11-Jul,106.5
11-Aug,106.2
11-Sep,106.1
11-Oct,105.5
11-Nov,104.2
11-Dec,104.1
12-Jan,104.5
12-Feb,103.2
12-Mar,103.59
12-Apr,103.37
12-May,103
12-Jun,102.15
12-Jul,101.78
12-Aug,102.05
12-Sep,101.91
12-Oct,101.7
12-Nov,102.04
12-Dec,102.52
13-Jan,102
13-Feb,103.22
13-Mar,102.07
13-Apr,102.39
13-May,102.1
13-Jun,102.67
13-Jul,102.67
13-Aug,102.57
13-Sep,103.05
13-Oct,103.21
13-Nov,103.02
13-Dec,102.5
14-Jan,102.49
14-Feb,101.95
14-Mar,102.38
14-Apr,101.8
14-May,102.48
14-Jun,102.34
14-Jul,102.29
14-Aug,101.99
14-Sep,101.63
14-Oct,101.6
14-Nov,101.44
14-Dec,101.51
15-Jan,100.76
15-Feb,101.43
15-Mar,101.38
15-Apr,101.51
15-May,101.23
15-Jun,101.39
15-Jul,101.65
15-Aug,101.96
15-Sep,101.6
15-Oct,101.27
15-Nov,101.49
15-Dec,101.64
16-Jan,101.75
16-Feb,102.28
16-Mar,102.3
16-Apr,102.33
16-May,102.04
16-Jun,101.88
16-Jul,101.77
16-Aug,101.34
16-Sep,101.92
16-Oct,102.1
16-Nov,102.25
16-Dec,102.08