Date,PPI
3-Jan,102.4
3-Feb,104
3-Mar,104.6
3-Apr,103.6
3-May,102
3-Jun,101.3
3-Jul,101.4
3-Aug,101.4
3-Sep,101.4
3-Oct,101.2
3-Nov,101.9
3-Dec,103
4-Jan,103.5
4-Feb,103.5
4-Mar,103.9
4-Apr,105
4-May,105.7
4-Jun,106.4
4-Jul,106.4
4-Aug,106.8
4-Sep,107.9
4-Oct,108.4
4-Nov,108.1
4-Dec,107.1
5-Jan,105.8
5-Feb,105.38
5-Mar,105.6
5-Apr,105.78
5-May,105.9
5-Jun,105.2
5-Jul,105.19
5-Aug,105.3
5-Sep,104.5
5-Oct,104
5-Nov,103.2
5-Dec,103.2
6-Jan,103.05
6-Feb,103.01
6-Mar,102.49
6-Apr,101.87
6-May,102.43
6-Jun,103.52
6-Jul,103.58
6-Aug,103.4
6-Sep,103.5
6-Oct,102.98
6-Nov,102.8
6-Dec,103.1
7-Jan,103.3
7-Feb,102.6
7-Mar,102.7
7-Apr,102.9
7-May,102.8
7-Jun,102.5
7-Jul,102.4
7-Aug,102.6
7-Sep,102.7
7-Oct,103.2
7-Nov,104.6
7-Dec,105.4
8-Jan,106.1
8-Feb,106.6
8-Mar,108
8-Apr,108.1
8-May,108.2
8-Jun,108.8
8-Jul,110
8-Aug,110.1
8-Sep,109.1
8-Oct,106.6
8-Nov,102
8-Dec,98.9
9-Jan,96.7
9-Feb,95.5
9-Mar,94
9-Apr,93.4
9-May,92.8
9-Jun,92.2
9-Jul,91.8
9-Aug,92.1
9-Sep,93
9-Oct,94.2
9-Nov,97.9
9-Dec,101.7
10-Jan,104.3
10-Feb,105.4
10-Mar,105.9
10-Apr,106.8
10-May,107.1
10-Jun,106.4
10-Jul,104.8
10-Aug,104.3
10-Sep,104.3
10-Oct,105
10-Nov,106.1
10-Dec,105.9
11-Jan,106.6
11-Feb,107.2
11-Mar,107.3
11-Apr,106.8
11-May,106.8
11-Jun,107.1
11-Jul,107.5
11-Aug,107.3
11-Sep,106.5
11-Oct,105
11-Nov,102.7
11-Dec,101.7
12-Jan,100.7
12-Feb,100
12-Mar,99.7
12-Apr,99.3
12-May,98.6
12-Jun,97.92
12-Jul,97.13
12-Aug,96.52
12-Sep,96.45
12-Oct,97.24
12-Nov,97.8
12-Dec,98.06
13-Jan,98.36
13-Feb,98.37
13-Mar,98.08
13-Apr,97.38
13-May,97.13
13-Jun,97.3
13-Jul,97.73
13-Aug,98.38
13-Sep,98.66
13-Oct,98.49
13-Nov,98.58
13-Dec,98.64
14-Jan,98.4
14-Feb,97.98
14-Mar,97.7
14-Apr,98
14-May,98.55
14-Jun,98.89
14-Jul,99.13
14-Aug,98.8
14-Sep,98.2
14-Oct,97.76
14-Nov,97.31
14-Dec,96.68
15-Jan,95.68
15-Feb,95.2
15-Mar,95.44
15-Apr,95.43
15-May,95.39
15-Jun,95.19
15-Jul,94.63
15-Aug,94.08
15-Sep,94.06
15-Oct,94.12
15-Nov,94.1
15-Dec,94.1
16-Jan,94.72
16-Feb,95.1
16-Mar,95.68
16-Apr,96.62
16-May,97.2
16-Jun,97.4
16-Jul,98.3
16-Aug,99.2
16-Sep,100.1
16-Oct,101.2
16-Nov,103.3
16-Dec,105.5